taxon_id	species	genus	scientist_family	inat_family	preferred_common_name	regional_count	global_count	eligible	target_species	selected	dataset_role	selection_reason
512028	Pseudocaranx georgianus	Pseudocaranx	Carangidae	Carangidae	Silver Trevally	0	1857	False	False	False	ineligible	below_regional_or_global_threshold
56941	Pseudocaranx wrighti	Pseudocaranx	Carangidae	Carangidae	Skipjack trevally	0	36	False	False	False	ineligible	below_regional_or_global_threshold
1360105	Scyris alexandrina	Scyris	Carangidae	Carangidae	Alexandria Pompano	0	27	False	False	False	ineligible	below_regional_or_global_threshold
112435	Selene brevoortii	Selene	Carangidae	Carangidae	Hairfin Lookdown	0	90	False	False	False	ineligible	below_regional_or_global_threshold
317376	Selene brownii	Selene	Carangidae	Carangidae	Brown's Caribbean Moonfish	0	9	False	False	False	ineligible	below_regional_or_global_threshold
566454	Selene dorsalis	Selene	Carangidae	Carangidae	African Moonfish	0	43	False	False	False	ineligible	below_regional_or_global_threshold
112437	Selene peruviana	Selene	Carangidae	Carangidae	Peruvian Moonfish	0	81	False	False	False	ineligible	below_regional_or_global_threshold
49598	Selene setapinnis	Selene	Carangidae	Carangidae	Atlantic Moonfish	0	420	False	False	False	ineligible	below_regional_or_global_threshold
179469	Selene vomer	Selene	Carangidae	Carangidae	Lookdown	0	573	False	False	False	ineligible	below_regional_or_global_threshold
1316087	Seriola aureovittata	Seriola	Carangidae	Carangidae	Yellowtail Kingfish	0	12	False	False	False	ineligible	below_regional_or_global_threshold
51551	Seriola carpenteri	Seriola	Carangidae	Carangidae	Mediterranean Amberjack	0	4	False	False	False	ineligible	below_regional_or_global_threshold
1316790	Seriola dorsalis	Seriola	Carangidae	Carangidae	California Yellowtail	0	144	False	False	False	ineligible	below_regional_or_global_threshold
51549	Seriola dumerili	Seriola	Carangidae	Carangidae	Greater Amberjack	0	1244	False	False	False	ineligible	below_regional_or_global_threshold
120689	Seriola fasciata	Seriola	Carangidae	Carangidae	Lesser Amberjack	0	43	False	False	False	ineligible	below_regional_or_global_threshold
488322	Seriola hippos	Seriola	Carangidae	Carangidae	Samsonfish	0	224	False	False	False	ineligible	below_regional_or_global_threshold
51550	Seriola lalandi	Seriola	Carangidae	Carangidae	Yellowtail Kingfish	0	854	False	False	False	ineligible	below_regional_or_global_threshold
