taxon_id	species	genus	scientist_family	inat_family	preferred_common_name	regional_count	global_count	eligible	target_species	selected	dataset_role	selection_reason	estimated_accepted_observations	planned_accepted_target
110911	Pseudanthias pictilis	Pseudanthias	Anthiadidae	Anthiadidae	Painted Basslet	0	1	False	False	False	ineligible	below_required_observation_threshold	0	0
110912	Pseudanthias pleurotaenia	Pseudanthias	Anthiadidae	Anthiadidae	Squarespot Anthias	0	47	False	False	False	ineligible	below_required_observation_threshold	16	0
344687	Pseudanthias randalli	Pseudanthias	Anthiadidae	Anthiadidae	Randall's anthias	0	1	False	False	False	ineligible	below_required_observation_threshold	0	0
424259	Pseudanthias rubrizonatus	Pseudanthias	Anthiadidae	Anthiadidae	Redbar Anthias	0	1	False	False	False	ineligible	below_required_observation_threshold	0	0
362163	Pseudanthias taeniatus	Pseudanthias	Anthiadidae	Anthiadidae	Red Sea Anthias	0	4	False	False	False	ineligible	below_required_observation_threshold	1	0
1356530	Pyronotanthias smithvanizi	Pyronotanthias	Anthiadidae	Anthiadidae	Princess Basslet	0	2	False	False	False	ineligible	below_required_observation_threshold	1	0
1661541	Sayonara japonica	Sayonara	Anthiadidae	Anthiadidae	Japanese Perchlet	0	1	False	False	False	ineligible	below_required_observation_threshold	0	0
530844	Selenanthias analis	Selenanthias	Anthiadidae	Anthiadidae	Pearlspot Fairy Basslet	0	1	False	False	False	ineligible	below_required_observation_threshold	0	0
183191	Serranocirrhitus latus	Serranocirrhitus	Anthiadidae	Anthiadidae	Hawk Anthias	0	21	False	False	False	ineligible	below_required_observation_threshold	7	0
530846	Tosana niwae	Tosana	Anthiadidae	Anthiadidae	Slender Fairy-basslet	0	2	False	False	False	ineligible	below_required_observation_threshold	1	0
343884	Trachypoma macracanthus	Trachypoma	Anthiadidae	Anthiadidae	Pacific Rockcod	0	50	False	False	False	ineligible	below_required_observation_threshold	17	0
1661578	Xenanthias longimanus	Xenanthias	Anthiadidae	Anthiadidae	Longfin Perchlet	0	2	False	False	False	ineligible	below_required_observation_threshold	1	0
1661543	Xenanthias nanus	Xenanthias	Anthiadidae	Anthiadidae	Dwarf Perchlet	0	2	False	False	False	ineligible	below_required_observation_threshold	1	0
1661596	Xenanthias winniensis	Xenanthias	Anthiadidae	Anthiadidae	Redblotch Perchlet	0	1	False	False	False	ineligible	below_required_observation_threshold	0	0
94394	Apogon atradorsatus	Apogon	Apogonidae	Apogonidae	Blacktip Cardinalfish	0	43	False	False	False	ineligible	below_required_observation_threshold	15	0
94395	Apogon atricaudus	Apogon	Apogonidae	Apogonidae	Plain Cardinalfish	0	6	False	False	False	ineligible	below_required_observation_threshold	2	0
131488	Apogon binotatus	Apogon	Apogonidae	Apogonidae	Barred Cardinalfish	0	25	False	False	False	ineligible	below_required_observation_threshold	9	0
94397	Apogon dovii	Apogon	Apogonidae	Apogonidae	Tailspot Cardinalfish	0	8	False	False	False	ineligible	below_required_observation_threshold	3	0
123755	Apogon erythrinus	Apogon	Apogonidae	Apogonidae	Hawaiian Ruby Cardinalfish	0	6	False	False	False	ineligible	below_required_observation_threshold	2	0
118514	Apogon imberbis	Apogon	Apogonidae	Apogonidae	Mediterranean Cardinalfish	0	186	False	False	False	ineligible	below_required_observation_threshold	64	0
316953	Apogon lachneri	Apogon	Apogonidae	Apogonidae	Whitestar Cardinalfish	0	8	False	False	False	ineligible	below_required_observation_threshold	3	0
131487	Apogon maculatus	Apogon	Apogonidae	Apogonidae	Flamefish	0	73	False	False	False	ineligible	below_required_observation_threshold	25	0
94405	Apogon pacificus	Apogon	Apogonidae	Apogonidae	Pink Cardinalfish	0	29	False	False	False	ineligible	below_required_observation_threshold	10	0
316954	Apogon phenax	Apogon	Apogonidae	Apogonidae	Mimic Cardinalfish	0	2	False	False	False	ineligible	below_required_observation_threshold	1	0
316955	Apogon planifrons	Apogon	Apogonidae	Apogonidae	Pale Cardinalfish	0	5	False	False	False	ineligible	below_required_observation_threshold	2	0
147102	Apogon pseudomaculatus	Apogon	Apogonidae	Apogonidae	Twospot Cardinalfish	0	11	False	False	False	ineligible	below_required_observation_threshold	4	0
316956	Apogon quadrisquamatus	Apogon	Apogonidae	Apogonidae	Sawcheek Cardinalfish	0	2	False	False	False	ineligible	below_required_observation_threshold	1	0
94406	Apogon retrosella	Apogon	Apogonidae	Apogonidae	Barspot Cardinalfish	0	31	False	False	False	ineligible	below_required_observation_threshold	11	0
487306	Apogon semiornatus	Apogon	Apogonidae	Apogonidae	Oblique-banded Cardinalfish	0	2	False	False	False	ineligible	below_required_observation_threshold	1	0
128199	Apogon townsendi	Apogon	Apogonidae	Apogonidae	Belted Cardinalfish	0	53	False	False	False	ineligible	below_required_observation_threshold	18	0
425281	Apogonichthyoides melas	Apogonichthyoides	Apogonidae	Apogonidae	Black Cardinalfish	0	4	False	False	False	ineligible	below_required_observation_threshold	1	0
