taxon_id	species	genus	scientist_family	inat_family	global_count	v3_role	v3_accepted	exact_label_accepted	metadata_mismatch_count	family_smoothed_yield	estimated_exact_accepted	planned_accepted_target	v4_role	selection_reason
118704	Gobius niger	Gobius	Gobiidae	Gobiidae	300	broad_pretraining	59	59	0	0.216044	65	0	excluded_low_supply	unlikely_to_reach_100_after_current_gates
106743	Neogobius melanostomus	Neogobius	Gobiidae	Gobiidae	426	broad_pretraining	90	90	0	0.216044	92	0	context_risk_holdout	class_concentrated_dead_caught_held_or_specimen_context
122002	Plectorhinchus chaetodonoides	Plectorhinchus	Haemulidae	Haemulidae	250	common_target_pretraining	84	84	0	0.279814	70	200	reserve_backfill	near_minimum_or_projection_uncertain
49947	Anisotremus virginicus	Anisotremus	Haemulidae	Haemulidae	260	broad_pretraining	99	99	0	0.279814	73	200	reserve_backfill	near_minimum_or_projection_uncertain
1316786	Brachygenys chrysargyrea	Brachygenys	Haemulidae	Haemulidae	252	broad_pretraining	37	37	0	0.279814	71	0	excluded_low_supply	unlikely_to_reach_100_after_current_gates
62600	Haemulon flavolineatum	Haemulon	Haemulidae	Haemulidae	829	broad_pretraining	200	200	0	0.279814	232	200	primary_train	v3_exact_label_count_meets_minimum
49262	Haemulon sciurus	Haemulon	Haemulidae	Haemulidae	572	broad_pretraining	181	181	0	0.279814	160	200	primary_train	v3_exact_label_count_meets_minimum
49625	Holocentrus rufus	Holocentrus	Holocentridae	Holocentridae	360	broad_pretraining	165	165	0	0.37774	136	200	primary_train	v3_exact_label_count_meets_minimum
49624	Myripristis jacobus	Myripristis	Holocentridae	Holocentridae	307	broad_pretraining	82	82	0	0.37774	116	200	reserve_backfill	near_minimum_or_projection_uncertain
130526	Neoniphon sammara	Neoniphon	Holocentridae	Holocentridae	255	broad_pretraining	146	146	0	0.37774	96	200	primary_train	v3_exact_label_count_meets_minimum
210173	Kyphosus vaigiensis	Kyphosus	Kyphosidae	Kyphosidae	256	broad_pretraining	89	89	0	0.308394	79	200	reserve_backfill	near_minimum_or_projection_uncertain
82355	Cheilinus undulatus	Cheilinus	Labridae	Labridae	250	common_target_pretraining	60	60	0	0.301386	75	0	excluded_low_supply	unlikely_to_reach_100_after_current_gates
187233	Chlorurus spilurus	Chlorurus	Labridae	Labridae	456	common_target_pretraining	121	121	0	0.301386	137	200	primary_train	v3_exact_label_count_meets_minimum
52323	Coris gaimard	Coris	Labridae	Labridae	268	common_target_pretraining	128	128	0	0.301386	81	200	primary_train	v3_exact_label_count_meets_minimum
102045	Halichoeres hortulanus	Halichoeres	Labridae	Labridae	585	common_target_pretraining	200	200	0	0.301386	176	200	primary_train	v3_exact_label_count_meets_minimum
102580	Hemigymnus melapterus	Hemigymnus	Labridae	Labridae	541	common_target_pretraining	158	158	0	0.301386	163	200	primary_train	v3_exact_label_count_meets_minimum
103901	Labroides dimidiatus	Labroides	Labridae	Labridae	696	common_target_pretraining	183	183	0	0.301386	210	200	primary_train	v3_exact_label_count_meets_minimum
84175	Scarus ghobban	Scarus	Labridae	Labridae	664	common_target_pretraining	200	200	0	0.301386	200	200	primary_train	v3_exact_label_count_meets_minimum
68025	Scarus niger	Scarus	Labridae	Labridae	375	common_target_pretraining	150	150	0	0.301386	113	200	primary_train	v3_exact_label_count_meets_minimum
52498	Scarus psittacus	Scarus	Labridae	Labridae	340	common_target_pretraining	152	152	0	0.301386	102	200	primary_train	v3_exact_label_count_meets_minimum
83297	Scarus rubroviolaceus	Scarus	Labridae	Labridae	513	common_target_pretraining	166	166	0	0.301386	155	200	primary_train	v3_exact_label_count_meets_minimum
